city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Medora,2024-03-02 05:00:00,USA,26,34,o3,o3,84,04n,1009,3,144,3.12,-103.514397,46.949699,North Dakota
Park Rapids,2024-03-01 10:00:00,USA,9,25,p2,p2,63,01n,1004,-4,120,2.57,-95.05863,46.92218,Minnesota
Smith Valley,2024-03-02 05:00:00,USA,0,1,p2,p2,90,13n,1000,1,217,3.58,-119.34425,38.78421,Nevada
Ashburn,2024-03-02 06:00:00,USA,24,32,o3,o3,86,10n,1028,4,120,2.06,-77.489998,39.024399,Virginia
Ashburn,2024-03-02 08:00:00,USA,24,32,o3,o3,86,04n,1025,4,70,2.06,-77.489998,39.024399,Virginia
Kelly,2024-03-02 08:00:00,USA,1,2,p2,p2,93,13n,1003,-3,0,0.0,-110.599403,43.67083,Wyoming
New Salem,2024-03-01 17:00:00,USA,2,6,p2,p2,60,01d,1003,7,320,8.23,-101.4281,47.1858,North Dakota
Williston,2024-03-02 08:00:00,USA,10,28,p2,p2,54,01n,1027,2,180,6.17,-73.059295,44.444061,Vermont
Fernley,2024-03-01 17:00:00,USA,4,11,p2,p2,62,04d,1008,4,230,11.29,-119.247853,39.602739,Nevada
Valentine,2024-03-02 05:00:00,USA,6,17,p2,p2,45,01n,1007,7,10,2.06,-100.55097,42.87278,Nebraska
Silver Summit,2024-03-01 11:00:00,USA,5,16,p2,p2,85,04n,1012,4,179,3.58,-111.48775,40.74144,Utah
Shepherd,2024-03-01 10:00:00,USA,13,39,p2,p2,73,01n,1025,-2,160,2.57,-84.69473,43.52447,Michigan
Glens Falls,2024-03-02 06:00:00,USA,17,50,p2,p2,69,01n,1029,0,0,0.0,-73.64401,43.30952,New York
Barrington,2024-03-01 16:00:00,USA,7,19,p2,p2,46,01d,1033,-1,113,1.34,-71.04701,43.22286,New Hampshire
Rock Springs,2024-03-02 08:00:00,USA,3,8,p2,p2,59,01n,1012,3,210,5.66,-109.2029,41.58746,Wyoming
Tecumseh,2024-03-01 17:00:00,USA,16,21,o3,o3,44,01d,1025,6,160,5.14,-83.946701,41.995602,Michigan
Washoe,2024-03-01 15:00:00,USA,2,6,p2,p2,77,04d,1008,0,226,8.18,-119.6643,40.66542,Nevada
Watkinsville,2024-03-02 05:00:00,USA,8,24,p2,p2,62,50n,1023,5,50,3.6,-83.40877,33.8629,Georgia
Narragansett,2024-03-01 11:00:00,USA,6,17,p2,p2,65,01n,1034,-4,0,3.09,-71.4219,41.4942,Rhode Island
Bella Vista,2024-03-01 16:00:00,USA,6,17,p2,p2,70,04d,1022,5,180,2.06,-94.201398,36.462481,Arkansas
Sandwich,2024-03-01 11:00:00,USA,5,13,p2,p2,65,01d,1032,-11,109,0.45,-71.41118,43.79035,New Hampshire
Sandwich,2024-03-02 07:00:00,USA,16,46,p2,p2,74,04n,1031,-3,284,1.04,-71.41118,43.79035,New Hampshire
